strategy,symbol,isin,signal_date,entry_date,entry_price,exit_date,exit_price,side,gross_return,estimated_cost,net_return,capital_before,pnl,capital_after,date,series,open,high,low,close,last_price,previous_close,volume,traded_value,circuit_like_flag,scaled_modeled_notional,scaled_notional_div_daily_value,research_notional_div_daily_value,one_paise_fraction_of_entry,official_close_differs_from_last,eligible_same_day_intraday_by_series
gap_fade_050,SITINET,INE965H01011,2025-09-08,2025-09-08,0.51,2025-09-08,0.5,SHORT,0.019607843137254943,0.002,0.01760784313725494,112464.88778584822,1980.2641025822086,114445.15188843042,2025-09-08,BZ,0.51,0.51,0.5,0.5,0.51,0.5,364151,183773.85,False,1124.6488778584821,0.006119743793028672,0.6119743793028671,0.0196078431372549,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-10,2025-09-10,0.49,2025-09-10,0.5,LONG,0.020408163265306145,0.002,0.018408163265306143,114445.15188843042,2106.725040884994,116551.87692931542,2025-09-10,BZ,0.49,0.51,0.49,0.5,0.51,0.5,260240,128989.46,False,1144.4515188843043,0.008872442127320359,0.8872442127320358,0.020408163265306124,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-12,2025-09-12,0.48,2025-09-12,0.49,LONG,0.02083333333333326,0.002,0.018833333333333258,116551.87692931542,2195.0603488354245,118746.93727815084,2025-09-12,BZ,0.48,0.5,0.48,0.49,0.49,0.49,231604,114600.29,False,1165.5187692931543,0.010170295112631515,1.0170295112631516,0.020833333333333336,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-15,2025-09-15,0.5,2025-09-15,0.49,SHORT,0.020000000000000018,0.002,0.018000000000000016,118746.93727815084,2137.444871006708,120884.38214915755,2025-09-15,BZ,0.5,0.5,0.48,0.49,0.49,0.49,429778,211059.81,False,1187.4693727815084,0.0056262221252900224,0.5626222125290022,0.02,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-16,2025-09-16,0.5,2025-09-16,0.49,SHORT,0.020000000000000018,0.002,0.018000000000000016,120884.38214915755,2175.9188786848536,123060.3010278424,2025-09-16,BZ,0.5,0.5,0.49,0.49,0.5,0.49,771258,382743.6,False,1208.8438214915755,0.0031583645591763665,0.31583645591763665,0.02,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-18,2025-09-18,0.48,2025-09-18,0.49,LONG,0.02083333333333326,0.002,0.018833333333333258,123060.3010278424,2317.6356693576963,125377.9366972001,2025-09-18,BZ,0.48,0.5,0.48,0.49,0.49,0.49,215278,105449.33,False,1230.603010278424,0.011670088470722612,1.1670088470722613,0.020833333333333336,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-19,2025-09-19,0.48,2025-09-19,0.49,LONG,0.02083333333333326,0.002,0.018833333333333258,125377.9366972001,2361.2844744639297,127739.22117166403,2025-09-19,BZ,0.48,0.5,0.48,0.49,0.49,0.49,198515,96403.76,False,1253.779366972001,0.013005502762257417,1.3005502762257417,0.020833333333333336,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-23,2025-09-23,0.5,2025-09-23,0.49,SHORT,0.020000000000000018,0.002,0.018000000000000016,127739.22117166403,2299.3059810899576,130038.52715275399,2025-09-23,BZ,0.5,0.5,0.48,0.49,0.5,0.49,796312,386808.68,False,1277.3922117166403,0.0033023876602682246,0.33023876602682245,0.02,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-24,2025-09-24,0.5,2025-09-24,0.49,SHORT,0.020000000000000018,0.002,0.018000000000000016,130038.52715275399,2340.693488749559,132379.22064150355,2025-09-24,BZ,0.5,0.5,0.48,0.49,0.5,0.49,367332,181202.91,False,1300.38527152754,0.007176403908345291,0.717640390834529,0.02,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-25,2025-09-25,0.5,2025-09-25,0.48,SHORT,0.040000000000000036,0.002,0.038000000000000034,132379.22064150355,5030.410384377174,137409.63102588072,2025-09-25,BZ,0.5,0.5,0.48,0.48,0.5,0.49,198051,95529.15,False,1323.7922064150355,0.013857468703689247,1.3857468703689246,0.02,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-26,2025-09-26,0.49,2025-09-26,0.48,SHORT,0.020408163265306145,0.002,0.018408163265306143,137409.63102588072,2529.4589221498754,139939.0899480306,2025-09-26,BZ,0.49,0.49,0.48,0.48,0.48,0.48,450528,216729.16,False,1374.0963102588073,0.006340154274850728,0.6340154274850727,0.020408163265306124,False,False
gap_fade_050,SITINET,INE965H01011,2025-10-01,2025-10-01,0.47,2025-10-01,0.47,SHORT,-0.0,0.002,-0.002,139939.0899480306,-279.8781798960699,139659.21176813453,2025-10-01,BZ,0.47,0.47,0.46,0.47,0.47,0.46,216424,100625.01,False,1399.390899480306,0.013906988923333335,1.3906988923333334,0.021276595744680854,False,False
gap_fade_050,SITINET,INE965H01011,2025-10-03,2025-10-03,0.46,2025-10-03,0.47,LONG,0.021739130434782483,0.002,0.01973913043478248,139659.21176813453,2756.7513975101465,142415.96316564467,2025-10-03,BZ,0.46,0.48,0.46,0.47,0.47,0.47,389275,185327.3,False,1396.5921176813454,0.007535814300868493,0.7535814300868492,0.021739130434782608,False,False
gap_fade_050,SITINET,INE965H01011,2025-10-16,2025-10-16,0.47,2025-10-16,0.46,SHORT,0.02127659574468077,0.002,0.01927659574468077,142415.96316564467,2745.294949533476,145161.25811517815,2025-10-16,BZ,0.47,0.47,0.46,0.46,0.47,0.46,374449,173315.99,False,1424.1596316564467,0.008217127754089204,0.8217127754089203,0.021276595744680854,True,False
gap_fade_050,SITINET,INE965H01011,2025-10-17,2025-10-17,0.47,2025-10-17,0.46,SHORT,0.02127659574468077,0.002,0.01927659574468077,145161.25811517815,2798.2148904755595,147959.4730056537,2025-10-17,BZ,0.47,0.47,0.45,0.46,0.47,0.46,283276,131987.79,False,1451.6125811517813,0.010998082331341264,1.0998082331341266,0.021276595744680854,True,False
gap_fade_050,SITINET,INE965H01011,2025-10-23,2025-10-23,0.45,2025-10-23,0.45,LONG,0.0,0.002,-0.002,147959.4730056537,-295.9189460113121,147663.5540596424,2025-10-23,BZ,0.45,0.47,0.45,0.45,0.45,0.46,982234,445779.84,False,1479.5947300565372,0.003319115395744539,0.33191153957445385,0.022222222222222223,False,False
gap_fade_050,SITINET,INE965H01011,2025-10-28,2025-10-28,0.47,2025-10-28,0.45,SHORT,0.04255319148936165,0.002,0.04055319148936165,147663.5540596424,5988.228383780399,153651.7824434228,2025-10-28,BZ,0.47,0.47,0.45,0.45,0.47,0.46,806004,371987.27,False,1476.635540596424,0.003969586218895136,0.39695862188951353,0.021276595744680854,True,False
gap_fade_050,SITINET,INE965H01011,2025-10-29,2025-10-29,0.46,2025-10-29,0.44,SHORT,0.0434782608695653,0.002,0.0414782608695653,153651.7824434228,6373.208715261979,160024.99115868477,2025-10-29,BZ,0.46,0.46,0.44,0.44,0.45,0.45,743856,331527.69,False,1536.517824434228,0.004634659097206113,0.46346590972061125,0.021739130434782608,True,False
gap_fade_050,SITINET,INE965H01011,2025-10-30,2025-10-30,0.45,2025-10-30,0.44,SHORT,0.022222222222222254,0.002,0.020222222222222253,160024.99115868477,3236.060932320077,163261.05209100485,2025-10-30,BZ,0.45,0.45,0.44,0.44,0.45,0.44,731662,326147.86,False,1600.2499115868477,0.004906516668810422,0.49065166688104217,0.022222222222222223,True,False
gap_fade_050,SITINET,INE965H01011,2025-10-31,2025-10-31,0.45,2025-10-31,0.44,SHORT,0.022222222222222254,0.002,0.020222222222222253,163261.05209100485,3301.501275618124,166562.55336662297,2025-10-31,BZ,0.45,0.45,0.43,0.44,0.45,0.44,627541,278056.94,False,1632.6105209100485,0.005871497114619936,0.5871497114619936,0.022222222222222223,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-03,2025-11-03,0.43,2025-11-03,0.44,LONG,0.023255813953488413,0.002,0.02125581395348841,166562.55336662297,3540.4226459789206,170102.9760126019,2025-11-03,BZ,0.43,0.45,0.43,0.44,0.45,0.44,536060,236878.33,False,1665.6255336662298,0.007031565671989624,0.7031565671989624,0.023255813953488372,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-04,2025-11-04,0.45,2025-11-04,0.43,SHORT,0.04444444444444451,0.002,0.04244444444444451,170102.9760126019,7219.926315201563,177322.90232780346,2025-11-04,BZ,0.45,0.45,0.43,0.43,0.45,0.44,900098,399682.74,False,1701.0297601260188,0.004255950007063149,0.42559500070631495,0.022222222222222223,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-10,2025-11-10,0.44,2025-11-10,0.42,SHORT,0.045454545454545525,0.002,0.04345454545454552,177322.90232780346,7705.486119335488,185028.38844713895,2025-11-10,BZ,0.44,0.44,0.42,0.42,0.43,0.43,1169056,493866.72,False,1773.2290232780347,0.003590501144272355,0.3590501144272355,0.022727272727272728,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-11,2025-11-11,0.43,2025-11-11,0.41,SHORT,0.04651162790697683,0.002,0.044511627906976825,185028.38844713895,8235.914778786624,193264.30322592557,2025-11-11,BZ,0.43,0.43,0.41,0.41,0.41,0.42,1025739,422748.56,False,1850.2838844713895,0.004376795238454247,0.4376795238454247,0.023255813953488372,False,False
gap_fade_050,SITINET,INE965H01011,2025-11-12,2025-11-12,0.4,2025-11-12,0.41,LONG,0.02499999999999991,0.002,0.02299999999999991,193264.30322592557,4445.078974196251,197709.38220012182,2025-11-12,BZ,0.4,0.42,0.4,0.41,0.41,0.41,503350,205718.7,False,1932.6430322592557,0.009394590925663323,0.9394590925663324,0.024999999999999998,False,False
gap_fade_050,SITINET,INE965H01011,2025-11-13,2025-11-13,0.42,2025-11-13,0.41,SHORT,0.023809523809523836,0.002,0.021809523809523834,197709.38220012182,4311.947478459828,202021.32967858165,2025-11-13,BZ,0.42,0.42,0.4,0.41,0.42,0.41,268367,111500.35,False,1977.093822001218,0.01773172749683044,1.773172749683044,0.02380952380952381,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-17,2025-11-17,0.43,2025-11-17,0.43,SHORT,-0.0,0.002,-0.002,202021.32967858165,-404.04265935719013,201617.28701922446,2025-11-17,BZ,0.43,0.43,0.41,0.43,0.43,0.42,828602,353146.77,False,2020.2132967858165,0.005720605335809291,0.5720605335809291,0.023255813953488372,False,False
gap_fade_050,SITINET,INE965H01011,2025-11-18,2025-11-18,0.44,2025-11-18,0.42,SHORT,0.045454545454545525,0.002,0.04345454545454552,201617.28701922446,8761.187563199084,210378.47458242354,2025-11-18,BZ,0.44,0.44,0.42,0.42,0.44,0.43,828278,359157.1,False,2016.1728701922445,0.005613623871537677,0.5613623871537677,0.022727272727272728,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-19,2025-11-19,0.43,2025-11-19,0.41,SHORT,0.04651162790697683,0.002,0.044511627906976825,210378.47458242354,9364.288380250218,219742.76296267376,2025-11-19,BZ,0.43,0.43,0.41,0.41,0.42,0.42,978582,404191.31,False,2103.7847458242354,0.005204923247420226,0.5204923247420227,0.023255813953488372,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-20,2025-11-20,0.42,2025-11-20,0.4,SHORT,0.04761904761904756,0.002,0.04561904761904756,219742.76296267376,10024.455567535333,229767.2185302091,2025-11-20,BZ,0.42,0.42,0.4,0.4,0.41,0.41,1506767,603799.22,False,2197.4276296267376,0.003639334992229267,0.3639334992229267,0.02380952380952381,True,False
gap_fade_050,SITINET,INE965H01011,2025-11-27,2025-11-27,0.38,2025-11-27,0.36,SHORT,0.052631578947368474,0.002,0.05063157894736847,229767.2185302091,11633.477064529521,241400.69559473862,2025-11-27,BZ,0.38,0.38,0.36,0.36,0.36,0.37,1859716,678127.35,False,2297.672185302091,0.0033882606051829217,0.33882606051829217,0.02631578947368421,False,False
gap_fade_050,SITINET,INE965H01011,2025-12-02,2025-12-02,0.34,2025-12-02,0.34,LONG,0.0,0.002,-0.002,241400.69559473862,-482.80139118945226,240917.89420354916,2025-12-02,BZ,0.34,0.35,0.34,0.34,0.35,0.35,960188,329753.79,False,2414.006955947386,0.007320634452593816,0.7320634452593816,0.029411764705882353,True,False
gap_fade_050,SITINET,INE965H01011,2025-12-05,2025-12-05,0.31,2025-12-05,0.33,LONG,0.06451612903225823,0.002,0.06251612903225823,240917.89420354916,15061.254160209006,255979.14836375817,2025-12-05,BZ,0.31,0.33,0.31,0.33,0.33,0.32,892724,288790.37,False,2409.1789420354917,0.008342310521072748,0.8342310521072748,0.03225806451612903,False,False
gap_fade_050,SITINET,INE965H01011,2025-12-08,2025-12-08,0.34,2025-12-08,0.34,SHORT,-0.0,0.002,-0.002,255979.14836375817,-511.9582967275055,255467.19006703066,2025-12-08,BZ,0.34,0.34,0.33,0.34,0.34,0.33,551840,186666.48,False,2559.7914836375817,0.013713182375526562,1.3713182375526562,0.029411764705882353,False,False
gap_fade_050,SITINET,INE965H01011,2025-12-09,2025-12-09,0.35,2025-12-09,0.35,SHORT,-0.0,0.002,-0.002,255467.19006703066,-510.93438013407285,254956.2556868966,2025-12-09,BZ,0.35,0.35,0.34,0.35,0.35,0.34,619702,216726.5,False,2554.6719006703065,0.01178753821369471,1.178753821369471,0.028571428571428574,False,False
